time,poseset,x,y,z,qx,qy,qz,qw,twistime,twistset,vx,vy,vz
1458160224.925196766,1,0.00998005,0.00998005,0.00998005,0.00998005,0.00998005,0.00998005,5.00004,5.00004,5.00004,5.00004
1458160224.942207777,1,0.00532248,0.00532248,0.00532248,0.00532248,0.00532248,0.00532248,4.67684,4.67684,4.67684,4.67684
1458160224.958583430,1,0.00442135,0.00442135,0.00442135,0.00442135,0.00442135,0.00442135,3.91808,3.91808,3.91808,3.91808
1458160224.975462060,1,0.00434776,0.00434776,0.00434776,0.00434776,0.00434776,0.00434776,2.95932,2.95932,2.95932,2.95932
1458160224.992017789,1,0.00432889,0.00432889,0.00432889,0.00432889,0.00432889,0.00432889,2.10556,2.10556,2.10556,2.10556
1458160225.009248040,1,0.00420211,0.00420211,0.00420211,0.00420211,0.00420211,0.00420211,1.47379,1.47379,1.47379,1.47379
1458160225.025571361,1,0.00399419,0.00399419,0.00399419,0.00399419,0.00399419,0.00399419,1.04276,1.04276,1.04276,1.04276
1458160225.042568343,1,0.00375209,0.00375209,0.00375209,0.00375209,0.00375209,0.00375209,0.756074,0.756074,0.756074,0.756074
1458160225.058795389,1,0.0035106,0.0035106,0.0035106,0.0035106,0.0035106,0.0035106,0.565025,0.565025,0.565025,0.565025
1458160225.075383319,1,0.00328077,0.00328077,0.00328077,0.00328077,0.00328077,0.00328077,0.436472,0.436472,0.436472,0.436472
1458160225.092071008,1,0.00307719,0.00307719,0.00307719,0.00307719,0.00307719,0.00307719,0.348778,0.348778,0.348778,0.348778
1458160225.108847158,1,0.00289303,0.00289303,0.00289303,0.00289303,0.00289303,0.00289303,0.288474,0.288474,0.288474,0.288474
1458160225.125378388,1,0.00273468,0.00273468,0.00273468,0.00273468,0.00273468,0.00273468,0.246908,0.246908,0.246908,0.246908
1458160225.142116337,1,0.00259681,0.00259681,0.00259681,0.00259681,0.00259681,0.00259681,0.218387,0.218387,0.218387,0.218387
1458160225.158808274,1,0.00247888,0.00247888,0.00247888,0.00247888,0.00247888,0.00247888,0.19914,0.19914,0.19914,0.19914
1458160225.175449272,1,0.0023807,0.0023807,0.0023807,0.0023807,0.0023807,0.0023807,0.186578,0.186578,0.186578,0.186578
1458160225.192081287,1,0.00229946,0.00229946,0.00229946,0.00229946,0.00229946,0.00229946,0.178786,0.178786,0.178786,0.178786
1458160225.208826237,1,0.00223505,0.00223505,0.00223505,0.00223505,0.00223505,0.00223505,0.174422,0.174422,0.174422,0.174422
1458160225.225438758,1,0.00218395,0.00218395,0.00218395,0.00218395,0.00218395,0.00218395,0.172336,0.172336,0.172336,0.172336
1458160225.242097937,1,0.00214713,0.00214713,0.00214713,0.00214713,0.00214713,0.00214713,0.171794,0.171794,0.171794,0.171794
1458160225.258976059,1,0.00212049,0.00212049,0.00212049,0.00212049,0.00212049,0.00212049,0.172007,0.172007,0.172007,0.172007
1458160225.275509649,1,0.00210225,0.00210225,0.00210225,0.00210225,0.00210225,0.00210225,0.172439,0.172439,0.172439,0.172439
1458160225.292524143,1,0.00209364,0.00209364,0.00209364,0.00209364,0.00209364,0.00209364,0.172818,0.172818,0.172818,0.172818
1458160225.308778165,1,0.0020899,0.0020899,0.0020899,0.0020899,0.0020899,0.0020899,0.172687,0.172687,0.172687,0.172687
1458160225.325736123,1,0.00208856,0.00208856,0.00208856,0.00208856,0.00208856,0.00208856,0.171821,0.171821,0.171821,0.171821
1458160225.342211911,1,0.00208922,0.00208922,0.00208922,0.00208922,0.00208922,0.00208922,0.170176,0.170176,0.170176,0.170176
