posetime,poseset,x,y,z,qx,qy,qz,qw,twistime,twistset,vx,vy,vz
1458160333.482638386,3,2.00178,1.03006,1.01302,-0.999976,0.000411336,-0.000394514,-0.000334715,1458160333.482647081,3,0.0166581,-0.0265398,0.000974868
1458160333.498827813,3,2.0016,1.02934,1.01286,-0.999305,0.00141911,0.000361265,-0.000120596,1458160333.498833214,3,0.0149466,-0.0286062,0.000141594
1458160333.515531329,3,2.00164,1.02957,1.01303,-0.999577,0.00233778,-6.33924e-05,-0.000374563,1458160333.515536793,3,0.0144318,-0.0256962,0.00102193
1458160333.532254502,3,2.00159,1.02949,1.01296,-0.999031,0.00251444,-0.00045228,-0.00066023,1458160333.532259993,3,0.0134432,-0.0244681,0.000665048
1458160333.549088927,3,2.00141,1.02828,1.0126,-0.999953,0.00260706,-0.000188082,-0.000676073,1458160333.549094480,3,0.0117995,-0.0290753,-0.00118133
1458160333.565999205,3,2.00187,1.02764,1.01242,-0.999864,0.00257724,-0.00113816,-0.00095207,1458160333.566006283,3,0.0135396,-0.0305643,-0.00198748
1458160333.582322334,3,2.00166,1.02699,1.01198,-0.999866,0.00200324,-0.000880937,-0.000885394,1458160333.582328068,3,0.0117166,-0.0319492,-0.00412631
1458160333.598831332,3,2.00141,1.02627,1.01218,-0.999488,0.00234708,-0.00145158,-5.92825e-05,1458160333.598836830,3,0.00975133,-0.0336281,-0.0029088
1458160333.615456537,3,2.00166,1.02596,1.01198,-0.999926,0.00158079,-0.00132832,-0.000120134,1458160333.615462034,3,0.0104148,-0.0331355,-0.00374046
1458160333.632067610,3,2.00142,1.02618,1.0122,-0.999915,0.000570553,-0.000710388,0.000332264,1458160333.632072948,3,0.00855241,-0.029843,-0.00242193
1458160333.649295561,3,2.00034,1.02628,1.01195,-0.998882,0.000302523,-0.000871365,-0.000676313,1458160333.649300898,3,0.00246563,-0.0273326,-0.0035709
1458160333.665882889,3,1.99982,1.02577,1.01231,-0.99916,-1.9132e-05,-0.000571561,-0.00131267,1458160333.665887853,3,-0.000517523,-0.0280255,-0.00148464
1458160333.682365500,3,1.9999,1.02516,1.01282,-0.999527,-0.000247343,-0.000731701,-0.000980335,1458160333.682370951,3,-0.00026295,-0.0291969,0.00125726
1458160333.698777016,3,1.99936,1.0253,1.01329,-1.00007,-0.000684985,-0.00141223,-0.000595284,1458160333.698782651,3,-0.00319799,-0.0264263,0.00366537
1458160333.715433745,3,1.99964,1.02485,1.01435,-0.999977,-0.00169432,-0.00191832,-0.000967381,1458160333.715439563,3,-0.00182889,-0.0268123,0.00898158
1458160333.732073591,3,1.99899,1.02445,1.01504,-0.999992,-0.00266231,-0.00217779,-0.000411047,1458160333.732079119,3,-0.00521656,-0.026911,0.0121377
1458160333.748728614,3,1.99962,1.02398,1.01472,-1.00025,-0.00258549,-0.00277889,-0.000704426,1458160333.748734626,3,-0.00189037,-0.0273186,0.00998304
1458160333.765865325,3,1.99983,1.02358,1.01392,-1.00041,-0.00210809,-0.00344774,-0.00071563,1458160333.765871369,3,-0.000894729,-0.027348,0.00542199
1458160333.782775273,3,2.00022,1.02236,1.01371,-1.00022,-0.00160153,-0.00293772,-0.000363311,1458160333.782780927,3,0.00102214,-0.0315539,0.00409703
1458160333.799217128,3,1.99977,1.02254,1.01355,-0.9998,-0.000709006,-0.00211909,-0.000328621,1458160333.799222414,3,-0.00142245,-0.0284416,0.00305354
1458160333.815632450,3,1.99963,1.02208,1.01336,-1,-0.000356679,-0.00223336,-0.000802414,1458160333.815635975,3,-0.00220486,-0.028661,0.00194432
1458160333.832477811,3,1.99999,1.02136,1.01286,-0.999979,0.000410357,-0.00173347,6.6699e-05,1458160333.832483045,3,-0.000391137,-0.0301991,-0.000745052
1458160333.848597051,3,2.00012,1.02079,1.01246,-0.999163,0.000553954,-0.00228453,0.00122425,1458160333.848600430,3,0.000230677,-0.0309474,-0.00278634
1458160333.865344180,3,1.99989,1.02137,1.01224,-0.999774,0.000988575,-0.00140452,0.00137056,1458160333.865347645,3,-0.00108839,-0.0256784,-0.00383985
1458160333.882004046,3,2.00028,1.02081,1.01207,-1.00063,0.00153213,-0.000797969,0.000349114,1458160333.882009669,3,0.000890866,-0.0265122,-0.00457539
1458160333.899146184,3,2.0005,1.02056,1.01173,-1.00029,0.00176528,-0.000469528,0.000795187,1458160333.899151167,3,0.00189048,-0.0257026,-0.00615305
1458160333.915750428,3,2.00059,1.01951,1.01214,-1.00094,0.00144174,-0.00011494,0.00111465,1458160333.915755482,3,0.00218034,-0.0290102,-0.0037842
1458160333.932247961,3,1.99985,1.01898,1.01138,-1.00061,0.00154824,0.000365501,0.000952004,1458160333.932252251,3,-0.00178152,-0.02955,-0.00746592
1458160333.948990474,3,1.99999,1.01897,1.01235,-1.0009,0.00107573,-0.000115411,0.000229881,1458160333.948994944,3,-0.00107502,-0.0273245,-0.00218359
1458160333.965630427,3,2.00048,1.01869,1.01196,-1.00084,0.00133404,-0.000661713,-0.000120656,1458160333.965635160,3,0.00139962,-0.0266304,-0.00403732
1458160333.982504244,3,2.00078,1.01858,1.01197,-1.00083,0.000676912,-0.000726798,-0.000363786,1458160333.982510986,3,0.00283233,-0.0250341,-0.00377928
1458160333.998785692,3,2.00039,1.01795,1.01167,-1.00054,0.000158031,-0.000839985,-0.00050192,1458160333.998789423,3,0.000598101,-0.0262002,-0.00512662
