header.seq,header.frame_id,inputTime,pose.position.x,pose.position.y,pose.position.z,pose.orientation.w,pose.orientation.x,pose.orientation.y,pose.orientation.z
153,1,2.5333333333,-3.00977340491671e-12,-1.43987168998155e-10,0.6542353107,-1.28784348872913e-12,-2.79918100439231e-07,1,5.91759629125199e-11
154,1,2.55,-2.31435555477198e-12,-1.10856947995571e-10,0.6536777828,-1.49719574909923e-12,-2.79423577324638e-07,1,6.90938369955587e-11
155,1,2.5666666667,-1.62704990272603e-12,-7.81011314647001e-11,0.6531023105,-1.72036367902328e-12,-2.78832763411613e-07,1,7.97181084210254e-11
156,1,2.5833333333,-9.49066508986600e-13,-4.57773209354177e-11,0.6525100539,-1.95252636806040e-12,-2.78152265868617e-07,1,9.08169023654505e-11
157,1,2.6,-2.81665125475835e-13,-1.39457343447897e-11,0.6519021451,-2.18892710925663e-12,-2.77388449907349e-07,1,1.02160629679276e-10
158,1,2.6166666667,3.73870527445426e-13,1.73320352407690e-11,0.6512796883,-2.42496029977659e-12,-2.76547442688362e-07,1,1.13526222422191e-10
159,1,2.6333333333,1.01625771299172e-12,4.79942278273230e-11,0.6506437603,-2.65624849087047e-12,-2.75635137470716e-07,1,1.24701003780045e-10
160,1,2.65,1.64423843491045e-12,7.79800704977094e-11,0.64999541,-2.87871298556870e-12,-2.74657197804400e-07,1,1.35486035835607e-10
161,1,2.6666666667,2.25660161248605e-12,1.07230858724932e-10,0.6493356587,-3.08863543011740e-12,-2.73619061842876e-07,1,1.45699151711181e-10
162,1,2.6833333333,2.85220333633112e-12,1.35690948384100e-10,0.6486655004,-3.28270481510455e-12,-2.72525946795874e-07,1,1.55177437034235e-10
163,1,2.7,3.42998494204785e-12,1.63308644736666e-10,0.6479859018,-3.45805415366317e-12,-2.71382853370275e-07,1,1.63779111270926e-10
164,1,2.7166666667,3.98898869410729e-12,1.90036977828803e-10,0.6472978024,-3.61229243858523e-12,-2.70194570359049e-07,1,1.71384935202707e-10
165,1,2.7333333333,4.52837090452673e-12,2.15834356326889e-10,0.6466021145,-3.74352286264175e-12,-2.68965679270097e-07,1,1.77899249783737e-10
166,1,2.75,5.04741238139637e-12,2.40665094008728e-10,0.6458997238,-3.85034771384313e-12,-2.67700558973217e-07,1,1.83250336510642e-10
167,1,2.7666666667,5.54552617225366e-12,2.64499806550268e-10,0.6451914895,-3.93186639723507e-12,-2.66403390396970e-07,1,1.87390402615621e-10
168,1,2.7833333333,6.02226260993322e-12,2.87315678472115e-10,0.6444782442,-3.98766229089376e-12,-2.65078161273329e-07,1,1.90295124886825e-10
169,1,2.8,6.47731172524852e-12,3.09096602510756e-10,0.6437607944,-4.01778400723804e-12,-2.63728670900864e-07,1,1.91962733849222e-10
170,1,2.8166666667,6.91050312553561e-12,3.29833196146361e-10,0.6430399209,-4.02271848474397e-12,-2.62358534873736e-07,1,1.92412749615307e-10
171,1,2.8333333333,7.32180348215603e-12,3.49522701966655e-10,0.6423163786,-4.00335549322647e-12,-2.60971189849984e-07,1,1.91684428532829e-10
172,1,2.85,7.71131181489679e-12,3.68168780159853e-10,0.6415908972,-3.96094869614002e-12,-2.59569898319068e-07,1,1.89834958332296e-10
173,1,2.8666666667,8.07925278293192e-12,3.85781202873763e-10,0.6408641814,-3.89707326684313e-12,-2.58157753366600e-07,1,1.86937341755831e-10
174,1,2.8833333333,8.42596821237601e-12,4.02375461790420e-10,0.640136911,-3.81357791939725e-12,-2.56737683405647e-07,1,1.83078161295150e-10
175,1,2.9,8.75190711838703e-12,4.17972301002384e-10,0.6394097415,-3.71253607306212e-12,-2.55312456861922e-07,1,1.78355287174192e-10
